TCGA-A6-3807	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3695	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A004	TCGA-AA-A00A	TCGA-AA-A00E	TCGA-AA-A00F	TCGA-AA-A00J	TCGA-AA-A00K	TCGA-AA-A00N	TCGA-AA-A00O	TCGA-AA-A00R	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A017	TCGA-AA-A01C	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01I	TCGA-AA-A01K	TCGA-AA-A01P
A1BG	5.1	6.1	5.15	5.09	4.3	4.77	4.3	5.82	5.21	4.64	4.36	4.39	5.52	7.18	7.04	5.65	5.92	4.21	5.38	4.07	6.09	6.17	7.48	3.89	4.21	6.11	4.75	4.01	6.06	4.85	5.81	3.5	4.01	5.86	5.25	5.95	3.24	2.89	5.6	5.67
A1CF	7.03	7.14	5.49	6.45	8.02	8.37	8.27	7.17	4.73	8.09	6.03	7.83	5.42	8.27	1.04	6.11	5.21	7.74	8.13	6.06	8.04	7.74	7.46	4.08	5.66	6.99	6.83	7.87	6.23	5.69	2.72	7.59	6.52	6.65	7.64	6.77	8.01	8.52	7.31	1.61
A2M	12.03	12.47	11.24	11.19	11.77	11.62	12.18	12.83	12.38	11.27	11.18	11.37	11.68	13.76	7.25	12.12	12.17	11.66	11.58	11.45	12.61	12.22	11.51	11.87	11.77	12.37	11.78	11.69	12.28	13.87	11.93	11.65	11.59	11.55	12.45	13.29	10.06	11.26	12.52	12.81
A2ML1	2.52	0	2.25	1.78	2.44	1.88	0	0	0	0	0	0	3.41	3.08	0	4.42	11.2	0	2.11	0	0.94	0	0	0	0	0	1.7	0	2.57	1.89	0	0	0	0.99	0	0	1.14	1.38	3.27	0
AAAS	9.3	9.02	10.18	9.83	10.4	10.53	10.22	9.75	9.73	9.7	9.3	9.64	10.99	10.07	10.03	10.26	10.86	10.15	10.57	9.82	9.96	10.39	8.35	9.76	9.75	9.84	10.37	10.57	9.56	9.47	9.75	10.17	9.76	9.65	10.19	9.49	9.2	9.81	9.86	9.84
AACS	9.84	9.33	10.41	10.54	10.89	10.68	10.54	10.46	10.43	10.08	10.22	10.18	12.25	10.63	9.8	10.48	10.86	10.71	10.95	10.91	10.07	10.84	10.95	10.47	10.49	10.06	10.33	11.54	10.05	10.99	9.73	9.86	9.81	9.89	10.13	10.68	10.2	10.35	10.05	9.93
AAK1	8.62	9.2	8.43	8.14	9.38	8.94	9.38	8.75	9.01	8.36	9.86	8.73	7.9	8.48	10.44	9.09	8.14	8.89	9.92	8.14	8.8	8.44	7.24	8.56	9.31	9.6	8.79	9.31	9.25	9.51	9.17	9.16	8.63	10.46	8.33	9.13	8.85	9.95	8.94	9.18
AARS	10.96	11.23	11.2	11.78	12.15	12.31	10.9	11.84	11.54	11.78	11.53	11.77	12.08	12.2	12.67	11.88	12.21	11.86	12.36	11.16	11.03	11.73	11.56	11.27	12.12	11.74	11.89	11.73	11.64	11.67	11.36	11.98	12.38	11.42	11.78	11.55	11.24	12.33	11.54	12.19
AARS2	9.11	8.76	9.2	8.41	9.12	9.2	9.15	9.02	8.42	9.55	8.95	9.25	9.86	9.48	8.96	8.86	9.68	8.65	10.18	8.55	8.83	9.19	12.29	8.99	9.39	9.05	9.38	9.38	9.07	10.16	9.5	9.18	9.79	8.58	8.97	9.2	8.75	8.69	9.26	9.1
AATF	10.44	10.42	9.95	10.17	10.41	10.18	10.02	10.32	10.1	9.59	10.12	10	9.79	9.54	10.8	10.19	10.19	10.25	10.25	10.22	10.07	10.07	10.23	10.52	10.6	10.3	10.66	10.65	10.12	10.56	10.87	10.89	10.94	10.85	10.85	10.11	11.39	10.85	10.45	10.77
ABAT	7.41	9.45	6.28	7.19	8.67	11.03	10.94	8.95	7.36	9.28	7.12	7.04	5.88	9.4	8.43	6.44	7.13	8.2	7.19	7.88	10.26	10.14	7.24	6.66	7.66	8.94	7.58	9.21	7.33	10.91	5.61	7.88	5.8	10.87	9.56	8.69	8.79	8.97	8.88	6.86
ABCA13	2.52	2.85	3.89	3.43	2.44	1.22	3.51	3.89	4.21	2.53	4.8	3.13	2.08	1.52	6.64	3.48	1.36	4.55	1.41	5.75	6.27	7.11	0	2.88	0	6.11	2.46	1.81	4.75	0	3.14	1.02	2.82	2.31	3.67	4.11	3.7	5.31	6.26	1.02
ABCB7	9.52	9.31	8.78	8.89	9.09	9.37	9.28	8.91	9.69	9.69	8.44	9.29	9.01	8.28	8.63	8.72	8.2	9.49	9.21	9.22	8.85	8.87	7.46	9.24	8.67	8.66	9.17	9.52	9.14	8.52	9.67	8.96	9	9.25	8.98	9.26	8.92	10.63	8.71	8.92
ABCC2	4.2	4.69	5.87	2.56	10.42	9.99	10.72	5.04	4.01	5.9	4.73	2.94	5.8	6.91	8.69	6.93	4.87	3.17	5.62	4.85	7.22	4.23	4.7	3.25	4.21	5.07	5.49	7.12	5.25	9.84	2.45	2.85	3.33	7.47	4.61	6.39	6.95	8.15	8.91	3.21
ABCC3	11.89	10.92	11.86	11.69	11.07	11.52	10.99	11.94	11.66	10.5	11.46	10.85	10.62	13.26	10.42	11.99	11.89	11.92	12.65	10.53	11.23	11.13	12.54	12.04	11.33	11.95	10.26	11.18	11.33	11.42	9.77	11.31	10.69	11.15	11.43	11.95	11.83	11.82	11.28	12.41
ABCD3	10.18	10.48	10.8	10.76	10.8	10.25	10.88	10.82	10.49	10.34	11	11.08	9.16	9.47	9.12	10.7	9.65	10.08	9.02	10.97	10.98	10.39	6.98	10.35	10.43	9.99	10.77	10.56	10.49	11.23	9.96	10.19	10.23	10.23	9.59	10.53	9.75	10.86	9.72	9.96
ABCE1	11.36	11.03	10.88	10.79	11.02	9.6	10.86	9.78	10.64	11.36	11.23	10.77	8.13	7.88	10.27	10.9	8.88	10.73	8.47	11.62	10.81	10.13	0	10.81	10.74	10.38	10.98	10.57	10.5	10.38	10.78	11.06	10.76	10.42	9.94	10.39	10.26	11.1	11.19	10.4
ABCF1	10.79	11.02	9.89	10.53	11.22	11.16	11.26	11.26	10.82	9.67	10.6	10.19	11.1	11.14	10.47	10.99	11.03	10.51	11.47	10.79	10.78	11.26	10	10.22	11.09	11.23	10.9	10.81	11.11	11.03	10.59	11.48	11.02	10.89	10.86	11.22	11.01	11.22	11.05	10.61
ABCF2	10.47	10.1	10.29	10.34	10.74	10.92	10.55	10.52	10.55	10.62	9.82	11.01	10.79	10.93	11.42	10.4	10.65	11.18	10.94	10.56	10.22	10.69	10.64	10.21	10.57	11.14	10.05	10.56	10.36	9.94	10.8	10.88	10.12	10.76	10.75	10.6	11.33	10.4	10.6	10.64
ABCF3	10.03	9.83	9.82	10.01	10.23	10.6	9.56	10.76	10.28	9.59	9.99	10.3	10.57	10.65	10.69	9.85	10.35	9.43	10.71	9.65	9.9	9.91	9.17	10.19	10.1	9.97	9.24	9.85	10.24	10.2	10.28	10.34	9.9	10.16	10.17	10.19	9.91	9.4	10.05	10.4
ABHD10	9.37	9.8	9.99	9.83	9.6	9.18	9.13	9.52	9.48	10.13	9.37	10.33	8.82	8.6	9.41	9.69	9.18	9.73	8.68	10.35	9.34	8.92	5.67	9.45	9.58	8.58	10.43	9.29	9.33	9.41	9.51	9.06	9.27	8.92	9.13	9.35	8.75	9.7	9.65	9.06
ABHD11	10.67	9.86	11.12	11.09	11.07	10.84	10.18	10.94	10.97	10.47	10.48	11.44	11.72	11.77	9.03	11.27	10.95	11.12	11.75	10.75	10.28	11.02	10.69	11.34	10.5	11.92	10.68	11.03	10.73	9.54	10.83	11.1	10.75	11.49	11.79	10.3	12.21	9.67	11	10.49
ABHD12	11.03	11.52	10.1	10.83	11.04	10.26	11.28	11.3	10.63	9.8	10.36	11.06	10.59	11.24	11.16	10.53	10.58	11.37	10.83	10.15	11.05	11.46	12.3	10.6	10.73	10.4	10.51	11.33	10.9	10.43	10.82	10.51	10.58	13.28	12.42	10.76	10.24	10.75	9.79	10.59
ABHD14B	10.32	10.54	11.53	11.63	10.66	11.52	10.03	11.43	11.34	10.98	10.55	11.48	11.9	11.84	10	10.81	11.17	11.06	12.35	11.01	11.41	10.96	10.17	11.92	11.1	11.34	11.27	11.17	11.03	10.2	10.47	10.9	10.78	10.32	11.42	10.59	11.6	9.11	10.36	10.96
ABI1	10.87	11.23	10.6	10.65	10.55	10.03	10.77	10.55	10.79	10.99	10.9	11.33	9.94	10.18	10.4	10.74	10.31	10.91	9.85	11.08	10.88	10.22	7.82	10.76	10.37	10.1	10.88	10.1	10.52	10.79	9.74	10.17	10.48	10.6	10.05	10.04	10.46	10.98	10.8	10.39
ABLIM1	11.55	11.29	11.99	10.95	11.04	11.22	11.73	11.93	12.13	10.84	12.25	11.42	11.64	11.13	6.36	11.59	11.12	12.04	11.19	12.6	11.33	11.75	11.82	11.87	11.87	11.2	12.45	11.41	12.14	11.4	11.32	11.73	11.92	11.35	11.45	11.17	12.22	12.62	11.74	12.63
