Symbol	chrom	start	end
DDX11L1	1	11873	14409
WASH7P	1	14361	29370
FAM138A	1	34610	36081
FAM138F	1	34610	36081
OR4F5	1	69090	70008
LOC729737	1	134772	140566
LOC100132062	1	323891	328581
LOC100132287	1	323891	328581
LOC100133331	1	323891	665731
OR4F16	1	367658	622034
OR4F29	1	367658	622034
OR4F3	1	367658	622034
LOC100288069	1	700244	714068
LINC00115	1	761585	762902
LOC643837	1	762970	794826
FAM41C	1	803450	812182
LOC100130417	1	852952	854817
SAMD11	1	861120	879961
NOC2L	1	879582	894679
KLHL17	1	895966	901099
PLEKHN1	1	901876	910484
C1orf170	1	910578	917473
HES4	1	934341	935552
ISG15	1	948846	949919
AGRN	1	955502	991499
RNF223	1	1007125	1009687
C1orf159	1	1017197	1051736
LOC254099	1	1072396	1079434
MIR200B	1	1102483	1102578
MIR200A	1	1103242	1103332
MIR429	1	1104384	1104467
TTLL10	1	1109285	1133313
TNFRSF18	1	1138887	1142089
TNFRSF4	1	1146705	1149548
SDF4	1	1152287	1167447
B3GALT6	1	1167628	1170420
FAM132A	1	1177825	1182102
UBE2J2	1	1189291	1209234
SCNN1D	1	1215815	1227409
ACAP3	1	1227763	1243269
PUSL1	1	1243993	1247057
CPSF3L	1	1246964	1260067
GLTPD1	1	1260142	1264276
TAS1R3	1	1266725	1269844
DVL1	1	1270657	1284492
MXRA8	1	1288070	1293915
AURKAIP1	1	1309109	1310818
CCNL2	1	1321090	1334718
LOC148413	1	1334909	1337426
MRPL20	1	1337275	1342693
ANKRD65	1	1353799	1356824
TMEM88B	1	1361507	1363167
VWA1	1	1370902	1378262
ATAD3C	1	1385068	1405538
ATAD3B	1	1407163	1431582
ATAD3A	1	1447522	1470067
TMEM240	1	1470157	1475740
SSU72	1	1477052	1510262
C1orf233	1	1533387	1535476
MIB2	1	1550794	1565990
MMP23B	1	1567559	1570030
MMP23A	1	1568158	1633247
CDK11B	1	1571099	1655775
SLC35E2B	1	1592938	1624243
CDK11A	1	1634169	1655791
SLC35E2	1	1656276	1677438
NADK	1	1682670	1711508
GNB1	1	1716724	1822526
CALML6	1	1846265	1848733
TMEM52	1	1849028	1850740
KIAA1751	1	1884751	1935276
GABRD	1	1950767	1962192
PRKCZ	1	1981908	2116834
C1orf86	1	2115898	2144159
SKI	1	2160133	2241652
MORN1	1	2252695	2322993
LOC100129534	1	2281852	2284100
RER1	1	2323213	2336885
PEX10	1	2336240	2344010
PLCH2	1	2407753	2436964
PANK4	1	2439974	2458035
HES5	1	2460183	2461684
LOC115110	1	2481358	2484284
LOC100133445	1	2487207	2488450
TNFRSF14	1	2487804	2495267
FAM213B	1	2517898	2522908
MMEL1	1	2522080	2564481
TTC34	1	2572806	2706230
ACTRT2	1	2938045	2939467
FLJ42875	1	2976180	2984289
PRDM16	1	2985741	3355185
MIR4251	1	3044538	3044599
ARHGEF16	1	3371146	3397677
MEGF6	1	3404505	3528059
MIR551A	1	3477259	3477354
TPRG1L	1	3541555	3546694
WRAP73	1	3547330	3566671
TP73	1	3569128	3652765
TP73-AS1	1	3652547	3663937
CCDC27	1	3668964	3688209
LOC388588	1	3689351	3692546
LRRC47	1	3696783	3713068
CEP104	1	3728644	3773797
DFFB	1	3773844	3801993
C1orf174	1	3805696	3816857
LOC100133612	1	3816967	3832011
LOC728716	1	4000671	4012643
LOC284661	1	4472110	4484744
AJAP1	1	4715104	4843851
MIR4417	1	5624130	5624203
MIR4689	1	5922731	5922801
NPHP4	1	5922869	6052533
KCNAB2	1	6052357	6161253
CHD5	1	6161846	6240194
RPL22	1	6245079	6259679
RNF207	1	6266188	6281359
ICMT	1	6281252	6296044
HES3	1	6304251	6305638
GPR153	1	6307405	6321035
ACOT7	1	6324331	6453826
HES2	1	6475293	6479979
ESPN	1	6484847	6521004
MIR4252	1	6489893	6489956
TNFRSF25	1	6521213	6526255
PLEKHG5	1	6526151	6580121
NOL9	1	6581406	6614658
TAS1R1	1	6615337	6639817
ZBTB48	1	6640062	6649340
KLHL21	1	6650783	6662929
PHF13	1	6673755	6684093
THAP3	1	6684924	6695646
DNAJC11	1	6694227	6761966
CAMTA1	1	6845383	7829766
VAMP3	1	7831328	7841492
PER3	1	7844762	7905237
UTS2	1	7907671	7913551
TNFRSF9	1	7975930	8003225
PARK7	1	8021713	8045342
ERRFI1	1	8071778	8086393
SLC45A1	1	8384389	8404227
RERE	1	8412463	8877699
ENO1	1	8921058	8939151
ENO1-AS1	1	8938893	8939943
CA6	1	9005892	9035148
SLC2A7	1	9063358	9086404
SLC2A5	1	9097004	9129887
GPR157	1	9164475	9189229
MIR34A	1	9211726	9211836
H6PD	1	9294862	9331394
SPSB1	1	9352940	9429590
SLC25A33	1	9599527	9642831
TMEM201	1	9648931	9674935
PIK3CD	1	9711789	9789172
C1orf200	1	9712667	9714644
CLSTN1	1	9789078	9884550
CTNNBIP1	1	9908333	9970316
LZIC	1	9989775	10002826
NMNAT1	1	10003485	10045556
RBP7	1	10057254	10076078
UBE4B	1	10093040	10241296
KIF1B	1	10270763	10441661
PGD	1	10459084	10480201
APITD1	1	10490158	10502872
APITD1-CORT	1	10490158	10512060
CORT	1	10509775	10512060
DFFA	1	10520602	10532613
PEX14	1	10535002	10690815
CASZ1	1	10696665	10856733
C1orf127	1	11006529	11042094
TARDBP	1	11072678	11085549
MASP2	1	11086579	11107296
SRM	1	11114648	11120091
EXOSC10	1	11126675	11159938
MTOR	1	11166587	11322608
ANGPTL7	1	11249345	11256038
UBIAD1	1	11333254	11348491
PTCHD2	1	11539294	11597640
FBXO2	1	11708417	11714888
FBXO44	1	11714431	11723384
FBXO6	1	11724149	11734409
MAD2L2	1	11734536	11751678
C1orf187	1	11751780	11780336
AGTRAP	1	11796141	11810828
MTHFR	1	11845786	11866160
CLCN6	1	11866152	11903201
NPPA-AS1	1	11900375	11907673
NPPA	1	11905766	11907840
NPPB	1	11917520	11918992
KIAA2013	1	11979644	11986485
PLOD1	1	11994723	12035599
MFN2	1	12040237	12073572
MIIP	1	12079298	12092106
TNFRSF8	1	12123433	12204264
TNFRSF1B	1	12227059	12269277
MIR4632	1	12251761	12251839
VPS13D	1	12290112	12572098
SNORA59A	1	12567299	12567451
SNORA59B	1	12567299	12567451
DHRS3	1	12627938	12677820
AADACL4	1	12704565	12727097
AADACL3	1	12776117	12788726
C1orf158	1	12806162	12821102
PRAMEF12	1	12834983	12838048
PRAMEF1	1	12851545	12856777
PRAMEF11	1	12884467	12891264
LOC649330	1	12907235	12908237
HNRNPCL1	1	12907260	12908578
PRAMEF2	1	12916940	12921764
PRAMEF4	1	12939032	12946025
PRAMEF10	1	12952726	12958094
PRAMEF8	1	12976449	13611550
PRAMEF7	1	12977512	13610487
PRAMEF6	1	12998301	13368936
PRAMEF22	1	13035542	13331671
PRAMEF5	1	13108513	13369057
LOC440563	1	13182959	13184326
PRAMEF3	1	13328195	13331692
PRAMEF15	1	13421175	13648987
PRAMEF9	1	13421175	13648988
PRAMEF13	1	13447413	13452656
PRAMEF18	1	13474052	13698405
PRAMEF19	1	13474052	13698405
PRAMEF16	1	13495253	13498259
PRAMEF20	1	13516065	13747803
PRAMEF21	1	13521962	13747803
PRAMEF17	1	13716087	13719064
LRRC38	1	13801444	13840242
PDPN	1	13910251	13944452
PRDM2	1	14026734	14151574
KAZN	1	14925212	15444544
C1orf126	1	15438310	15478960
TMEM51	1	15479027	15546974
FHAD1	1	15573767	15724622
EFHD2	1	15736390	15756839
CTRC	1	15764937	15773153
CELA2A	1	15783222	15798586
CELA2B	1	15802595	15817895
CASP9	1	15817895	15851285
DNAJC16	1	15853351	15898228
AGMAT	1	15898193	15911605
DDI2	1	15943952	15987552
RSC1A1	1	15986363	15988217
PLEKHM2	1	16010826	16061264
SLC25A34	1	16062808	16067884
TMEM82	1	16068986	16074292
FBLIM1	1	16085254	16113084
UQCRHL	1	16133656	16134194
FLJ37453	1	16160709	16174642
SPEN	1	16174358	16266950
ZBTB17	1	16268363	16302627
C1orf64	1	16330730	16333184
HSPB7	1	16340522	16345285
CLCNKA	1	16348485	16360545
CLCNKB	1	16370230	16383821
FAM131C	1	16384263	16400127
EPHA2	1	16450831	16482582
ARHGEF19	1	16524598	16539104
RSG1	1	16558181	16563659
FBXO42	1	16576558	16678948
C1orf144	1	16693524	16724643
SPATA21	1	16725137	16763919
NECAP2	1	16767166	16786584
CROCCP3	1	16793930	16819196
MIR3675	1	16875408	17185516
NBPF1	1	16888921	16940100
CROCCP2	1	16944750	16957401
